Period,ResultAge,NotNotified,Notified
Jul 2015,1,88,16
Jul 2015,2,79,35
Jul 2015,3,81,52
Jul 2015,4,30,45
Jul 2015,5,25,43
Jul 2015,6,36,51
Jul 2015,7,14,53
Jul 2015,8,22,96
Jul 2015,9,31,71
Jul 2015,10,21,56
Jul 2015,11,31,94
Jul 2015,12,26,72
Mar 2017,1,86,15
Mar 2017,2,41,20
Mar 2017,3,26,37
Mar 2017,4,75,44
Mar 2017,5,42,51
Mar 2017,6,23,64
Mar 2017,7,43,73
Mar 2017,8,38,40
Mar 2017,9,30,69
Mar 2017,10,47,91
Mar 2017,11,47,52
Mar 2017,12,11,10
Jun 2017,1,63,4
Jun 2017,2,49,33
Jun 2017,3,47,36
Jun 2017,4,41,44
Jun 2017,5,38,74
Jun 2017,6,22,42
Jun 2017,7,45,77
Jun 2017,8,18,23
Jun 2017,9,26,42
Jun 2017,10,38,39
Jun 2017,11,34,64
Jun 2017,12,26,39
Sep 2017,1,96,32
Sep 2017,2,68,41
Sep 2017,3,96,51
Sep 2017,4,85,49
Sep 2017,5,91,52
Sep 2017,6,91,47
Sep 2017,7,78,65
Sep 2017,8,82,85
Sep 2017,9,55,108
Sep 2017,10,62,88
Sep 2017,11,69,99
Sep 2017,12,45,76